accuracy,precision,recall,f1,alpha
0.638696268304204,0.6300402254008814,0.6278304612654939,0.6228553528806138,0.01
0.638696268304204,0.6300402254008814,0.6278304612654939,0.6228553528806138,0.1
0.638686820973075,0.6297468073164256,0.6276157538044098,0.6222753244198213,0.5
0.6373169579593765,0.628438239199298,0.626166478442091,0.620775984920711,1.0
0.6359470949456779,0.6271937027373702,0.6247480387257789,0.6192201154949354,2.0
0.6400661313179027,0.6326455445209219,0.6288503217056444,0.6231765911093877,5.0
0.6400566839867736,0.6324892593795436,0.6286356142445599,0.6224696048341921,10.0
